name,stars,language,topics,description,last_updated,readme,clasificacion_ia
smallcloudai/refact,3.5k,Rust,open-source; enterprise; vscode; self-hosted; developer-tools,"AI Agent that handles engineering tasks end-to-end: integrates with developers’ tools, plans, executes, and iterates until it achieves a …",Updated 4 days ago,"<a name=""readme-top""></a>  <div align=""center"">   <picture>     <source media=""(prefers-color-scheme: dark)"" srcset=""https://docs.refact.ai/_astro/logo-dark.CCzD55EA.svg"">     <source media=""(prefers-color-scheme: light)"" srcset=""https://docs.refact.ai/_astro/logo-light.CblxRz3x.svg"">     <img alt=""Refact logo"" src=""https://docs.refact.ai/_astro/logo-dark.CCzD55EA.svg"" width=""200"">   </picture>   <h1 align=""center"">Refact</h1>   <p align=""center"">Open-source, local-first AI coding assistant for",AI Agent (General)
golutra/golutra,3.4k,Rust,desktop-app; agent; productivity; automation; ai,"Multi-agent AI orchestration platform for automation, workflows, and developer tools. Golutra transforms Codex, Claude Code, and OpenClaw…",Updated 2 days ago,"# golutra  **使用赛博监工系统，指挥你的 AI 牛马。**   **Use Cyberpunk Overseer System: Command your AI workforce.**  ---  <p align=""center"">   <a href=""https://www.golutra.com/"" target=""_blank"" rel=""noopener noreferrer"">     <img width=""100"" src=""./src-tauri/icons/icon.png"" alt=""golutra logo"" />   </a> </p>  <p align=""center"">   <a href=""https://github.com/golutra/golutra/releases""><img src=""https://img.shields.io/github/v/release/golutra/golutra?label=release"" alt=""release""></a>   <a href=""https://www.golutra.",Security / Pentesting
Gentleman-Programming/engram,3.4k,Go,,"Persistent memory system for AI coding agents. Agent-agnostic Go binary with SQLite + FTS5, MCP server, HTTP API, CLI, and TUI.",Updated yesterday,"<p align=""center"">   <img width=""1024"" alt=""Engram — One Brain. Local or Cloud."" src=""assets/branding/engram-banner.png"" /> </p>  <p align=""center"">   <strong>Persistent memory for AI coding agents</strong><br>   <em>One brain. Local or cloud. Agent-agnostic, single binary, zero dependencies.</em> </p>  <p align=""center"">   <a href=""docs/INSTALLATION.md"">Installation</a> &bull;   <a href=""docs/engram-cloud/README.md"">Engram Cloud</a> &bull;   <a href=""docs/AGENT-SETUP.md"">Agent Setup</a> &bull;",MCP / Tools Protocol
nextlevelbuilder/goclaw,3.1k,Go,golang; telegram-bot; mcp; websocket; chatbot,"GoClaw - GoClaw is OpenClaw rebuilt in Go — with multi-tenant isolation, 5-layer security, and native concurrency. Deploy AI agent teams …",Updated yesterday,"<p align=""center"">   <img src=""_statics/goclaw-logo.svg"" alt=""GoClaw"" height=""200"" /> </p>  <p align=""center""><strong>Multi-Tenant AI Agent Platform</strong></p>  <p align=""center""> Multi-agent AI gateway built in Go. 20+ LLM providers. 7 channels. Multi-tenant PostgreSQL.<br/> Single binary. Production-tested. Agents that orchestrate for you. </p>  <p align=""center"">   <a href=""https://docs.goclaw.sh"">Documentation</a> •   <a href=""https://docs.goclaw.sh/#quick-start"">Quick Start</a> •   <a hre",Data Integration / Pipelines
spiceai/spiceai,2.9k,Rust,infrastructure; data; machine-learning; sql; artificial-intelligence,"A portable accelerated SQL query, search, and LLM-inference engine, written in Rust, for data-grounded AI apps and agents.",Updated 4 hours ago,"<p align=""center"">   <img src=""https://github.com/user-attachments/assets/13ff4c9d-d6a7-4c20-9408-45573c508c41"" alt=""spice oss logo"" width=""600""/> </p> <div align=""center"">  [![CodeQL](https://github.com/spiceai/spiceai/actions/workflows/codeql-analysis.yml/badge.svg?branch=trunk&event=push)](https://github.com/spiceai/spiceai/actions/workflows/codeql-analysis.yml?query=branch%3Atrunk+event%3Apush) [![License: Apache-2.0](https://img.shields.io/badge/License-Apache_2.0-blue.svg)](https://opensou",Database / Data Warehouse
docker/docker-agent,2.9k,Go,ai; agents,AI Agent Builder and Runtime by Docker Engineering,Updated 14 hours ago,"# 🤖 Docker Agent 🤖  > Build, run, and share AI agents with a declarative YAML config, rich tool ecosystem, and multi-agent orchestration.  ![docker agent in action](docs/demo.gif)  ## What is Docker Agent?  `docker-agent` lets you create and run intelligent AI agents that collaborate to solve complex problems — no code required.  `docker-agent` is a `docker` CLI plugin and can be run with `docker agent`.  Define agents in YAML, give them tools, and let them work.  ```yaml agents:   root:     mod",Agent Orchestration / Workflow
rivet-dev/agent-os,2.9k,Rust,javascript; agent; ai; v8; sandbox,"A portable open-source operating system for agents. ~6 ms coldstarts, 32x cheaper than sandboxes. Powered by WebAssembly and V8 isolates.",Updated 10 days ago,"<p align=""center"">   <img src="".github/media/banner.png"" alt=""agentOS"" /> </p>  <p align=""center"">   A portable open-source operating system for AI agents.<br/>Near-zero cold starts (~6 ms), up to 32x cheaper than sandboxes.<br/>Powered by WebAssembly and V8 isolates.<br/><br/>Supports Pi, Claude Code*, Codex*, Amp*, and OpenCode*<br/><sub>* coming soon</sub> </p>  <p align=""center"">   <a href=""https://rivet.dev/docs/agent-os"">Documentation</a> | <a href=""https://rivet.dev/docs/agent-os/quicksta",Agent Runtime / Sandbox
mikeyobrien/ralph-orchestrator,2.8k,Rust,ai; opencode; development-workflow; development-tools; ai-agents,An improved implementation of the Ralph Wiggum technique for autonomous AI agent orchestration,Updated yesterday,<!-- 2026-01-28 --> # Ralph Orchestrator  [![License](https://img.shields.io/badge/license-MIT-blue)](LICENSE) [![Rust](https://img.shields.io/badge/rust-1.75+-orange)](https://www.rust-lang.org/) [![Build](https://img.shields.io/github/actions/workflow/status/mikeyobrien/ralph-orchestrator/ci.yml?branch=main&label=CI)](https://github.com/mikeyobrien/ralph-orchestrator/actions) [![Coverage](https://img.shields.io/endpoint?url=https://mikeyobrien.github.io/ralph-orchestrator/badges/coverage.json),Agent Orchestration / Workflow
VibiumDev/vibium,2.8k,Go,,Browser automation for AI agents and humans,Updated 2 days ago,# Vibium  [![npm](https://img.shields.io/npm/v/vibium)](https://www.npmjs.com/package/vibium) [![PyPI](https://img.shields.io/pypi/v/vibium)](https://pypi.org/project/vibium/) [![Maven Central](https://img.shields.io/maven-central/v/com.vibium/vibium)](https://central.sonatype.com/artifact/com.vibium/vibium) [![License](https://img.shields.io/badge/license-Apache%202.0-blue)](LICENSE)  **Browser automation for AI agents and humans.**  Vibium gives AI agents a browser. Install the `vibium` skill,Browser / Web Automation
kagent-dev/kagent,2.7k,Go,devops; ai; mcp; cncf; agents,Cloud Native Agentic AI | Discord: https://bit.ly/kagentdiscord,Updated yesterday,,AI Agent (General)
agentgateway/agentgateway,2.7k,Rust,kubernetes; rust; ai; api-gateway; mcp,Next Generation Agentic Proxy for AI Agents and MCP servers,Updated yesterday,,MCP / Tools Protocol
rilldata/rill,2.6k,Go,golang; data; bi; csv; sql,The fastest business intelligence tool for humans and agents.,Updated yesterday,,Database / Data Warehouse
UnicomAI/wanwu,2.5k,Go,agent; golang; workflow; development; ai,"China Unicom's Yuanjing Wanwu Agent Platform is an enterprise-grade, multi-tenant AI agent development platform. It helps users build app…",Updated 12 hours ago,,AI Agent (General)
asheshgoplani/agent-deck,2.4k,Go,tmux; cli; golang; productivity; terminal,"Terminal session manager for AI coding agents. One TUI for Claude, Gemini, OpenCode, Codex, and more.",Updated 1 hour ago,,CLI / Terminal Tools
zerobootdev/zeroboot,2.3k,Rust,rust; vm; virtual-machine; sandbox; kvm,Sub-millisecond VM sandboxes for AI agents via copy-on-write forking,Updated on Mar 21,,AI Agent (General)
sheeki03/tirith,2.3k,Rust,shell; rust; cli; security; unicode,"Terminal security for developers and AI agents. Intercepts homograph URLs, pipe-to-shell, ANSI injection, obfuscated payloads, data exfil…",Updated 16 hours ago,,AI Agent (General)
sentrux/sentrux,2.3k,Rust,visualization; rust; mcp; architecture; static-analysis,"Real-time architectural sensor that helps AI agents close the feedback loop, enabling recursive self-improvement of code quality. Pure Rust.",Updated on Mar 18,,AI Agent (General)
spacedriveapp/spacebot,2.2k,Rust,agent; enterprise; automation; ai; messaging,"An AI agent for teams, communities, and multi-user environments.",Updated 1 hour ago,,AI Agent (General)
kubernetes-sigs/agent-sandbox,2.1k,Go,,"agent-sandbox enables easy management of isolated, stateful, singleton workloads, ideal for use cases like AI agent runtimes.",Updated 2 days ago,,AI Agent (General)
graykode/abtop,2k,Rust,rust; cli; terminal; monitor; tui,"Like htop, but for AI coding agents. Monitor Claude Code & Codex CLI sessions, tokens, context window, rate limits, and ports in real-time.",Updated 13 hours ago,,CLI / Terminal Tools
AgentsMesh/AgentsMesh,2k,Go,self-hosted; multi-agent; ai-agent; aider; gemini-cli,The AI Agent Workforce Platform — where teams scale beyond headcount. Give every team member an AI agent squad.,Updated 5 hours ago,,AI Agent (General)
aws/amazon-q-developer-cli,1.9k,Rust,macos; linux; shell; agent; rust,✨ Agentic chat experience in your terminal. Build applications using natural language.,Updated 9 days ago,,AI Agent (General)
vercel-labs/opensrc,1.9k,Rust,nodejs; cli; npm; typescript; ai,Fetch source code for npm packages to give AI coding agents deeper context,Updated 8 days ago,,AI Agent (General)
WecomTeam/wecom-cli,1.9k,Rust,,企业微信开放平台命令行工具 — 让人类和 AI Agent 都能在终端中操作企业微信,Updated yesterday,,AI Agent (General)
yomorun/yomo,1.9k,Rust,serverless; mcp; realtime; stream-processing; openai,🦖 Serverless AI Agent Framework with Geo-distributed Edge AI Infra.,Updated 2 days ago,,AI Agent (General)
matrixorigin/matrixone,1.8k,Go,go; distributed-systems; sql; database; memory,"AI-native HTAP database with Git-for-Data and built-in vector search, serving as the data and memory backbone for intelligent agents and …",Updated 8 hours ago,,Database / Data Warehouse
Kocoro-lab/Shannon,1.8k,Go,agent; ai; multi-agent-systems,A production-oriented multi-agent orchestration framework.,Updated 8 days ago,,Agent Orchestration / Workflow
mudler/LocalAGI,1.8k,Go,,"LocalAGI is a powerful, self-hostable AI Agent platform designed for maximum privacy and flexibility. A complete drop-in replacement for …",Updated yesterday,,AI Agent (General)
yologdev/yoyo-evolve,1.7k,Rust,,A Truman Show of a self-evolving AI coding agent. It writes its own code. Growing up in public.,Updated 1 hour ago,,AI Agent (General)
DingTalk-Real-AI/dingtalk-workspace-cli,1.7k,Go,,DingTalk Workspace is an officially open-sourced cross-platform CLI tool from DingTalk. It unifies DingTalk’s full suite of product capab…,Updated 10 hours ago,,CLI / Terminal Tools
Agent-Field/agentfield,1.7k,Go,python; go; agent; kubernetes; typescript,"Build, run and scale AI agents like API and microservices - observable,auditable and identity-aware from day one.",Updated 7 hours ago,,AI Agent (General)
memohai/Memoh,1.6k,Go,agent; ai; personal-assistant; ai-memory; ai-companion,"✨ Self hosted, always-on AI agent platform run in containers. Create multiple bots with long memory, and connect them to Telegram, Discor…",Updated 7 hours ago,,AI Agent (General)
samber/cc-skills-golang,1.6k,Go,plugin; agent; ai; code; skills,🧑‍🎨 A collection of Golang agentic skills that works,Updated 2 days ago,,AI Agent (General)
actionbook/actionbook,1.5k,Rust,rust; skills; browser-automation; ai-agents,Let your AI agent use your browser. Actionbook makes it actually work.,Updated 8 hours ago,,AI Agent (General)
mediar-ai/terminator,1.4k,Rust,agent; rust; ai; native; ml,playwright for windows computer use,Updated 17 days ago,,Browser / Web Automation
nixopus/nixopus,1.4k,Go,heroku; infrastructure; golang; typescript; terminal,Run production apps without thinking about infrastructure. On your server or ours. Fully agentic.,Updated 17 hours ago,,AI Agent (General)
limecloud/lime,1.4k,Rust,desktop-app; agent; workflow; ai; skills,"AI content workspace for Chinese creators: desktop writing, research, prompt library, knowledge base, and multi-model workflows.",Updated 3 hours ago,,Memory / Knowledge / RAG
ThousandBirdsInc/chidori,1.3k,Rust,debugging; framework; ai; orchestration; agents,A reactive runtime for building durable AI agents,Updated 9 days ago,,Agent Orchestration / Workflow
browserwing/browserwing,1.3k,Go,react; golang; llm; aibrowser,"BrowserWing turns your browser actions into MCP commands Or Claude Skill, allowing AI agents to control browsers efficiently and reliably…",Updated yesterday,,AI Agent (General)
xingkongliang/skills-manager,1.3k,Rust,,"A lightweight desktop app to manage, sync, and organize AI agent skills across 15+ coding tools — Cursor, Claude Code, Codex, Copilot, an…",Updated 10 hours ago,,AI Agent (General)
specstoryai/getspecstory,1.2k,Go,ai; vscode; vscode-extension; copilot; codex,Install our local first extensions for your favorite AI IDE or Terminal Agent. Sync your conversations to the cloud. File issues and requ…,Updated 2 days ago,,CLI / Terminal Tools
run-bigpig/jcp,1.2k,Go,,韭菜盘 (JCP AI) - AI 驱动的智能A股分析系统，基于 Wails + Go + React，支持多 Agent 协作分析,Updated on Apr 9,,AI Agent (General)
trpc-group/trpc-agent-go,1.2k,Go,agent; ai; mcp; a2a; llm,trpc-agent-go is a powerful Go framework for building intelligent agent systems using large language models (LLMs) and tools.,Updated 13 hours ago,,Agent DevKit / SDK
mvanhorn/cli-printing-press,1.1k,Go,cli; golang; openapi; developer-tools; ai-agents,"Every API has a secret identity. This finds it, absorbs every feature from every competing tool, then builds the GOAT CLI — designed for AI",Updated 8 minutes ago,,CLI / Terminal Tools
localgpt-app/localgpt,1.1k,Rust,agent; rust; world; ai; bevy,"Local AI assistant, dreaming explorable worlds.",Updated 2 days ago,,AI Agent (General)
Armur-Ai/Pentest-Swarm-AI,1.1k,Go,cybersecurity; penetration-testing; bug-bounty; offensive-security; ai-agents,"Autonomous penetration testing using a swarm of AI agents. Orchestrates recon, classification, exploitation, and reporting specialists wi…",Updated 2 days ago,,Security / Pentesting
iwe-org/iwe,1k,Rust,markdown; rust; cli; productivity; ai,Markdown memory system for you and your AI agent,Updated 4 days ago,,AI Agent (General)
Infisical/agent-vault,1k,Go,agents; ai-agents; secrets-management,A HTTP credential proxy and vault for AI agents,Updated 3 hours ago,,AI Agent (General)
golemcloud/golem,990,Rust,distributed-systems; ai; serverless; fault-tolerance; wasm,"Golem Cloud is the agent-native platform for building AI agents and distributed applications that never lose state, never duplicate work,…",Updated 5 hours ago,,AI Agent (General)
modu-ai/moai-adk,990,Go,tdd; ddd; multi-agent; developer-tools; code-quality,"SPEC-First Agentic Development Kit for Claude Code — 24 AI agents + 52 skills with TDD/DDD quality gates, 16-language projects, 4-languag…",Updated 3 hours ago,,AI Agent (General)
sopaco/deepwiki-rs,964,Rust,rust; wiki; openai; mistral; claude,Turn code into clarity. Generate accurate technical docs and AI-ready context in minutes—perfectly structured for human teams and intelli…,Updated 7 days ago,,AI Agent (General)
Mesh-LLM/mesh-llm,941,Rust,ai; decentralized; distributed; agents; llm,Distributed AI/LLM for the people. Share compute privately or publicly to power your agents and chat.,Updated 38 seconds ago,,AI Agent (General)
kaplanelad/shellfirm,904,Rust,shell; agent; rust; zsh; devops,Safety guardrails for ai coding agents and human terminal commands,Updated 2 days ago,,CLI / Terminal Tools
qufei1993/skills-hub,900,Rust,,A cross-platform desktop app to manage Agent Skills in one place and sync them to multiple AI coding tools’ global skills directories — “…,Updated 21 hours ago,,AI Agent (General)
Dicklesworthstone/pi_agent_rust,871,Rust,rust; cli; developer-tools; ai-agents,High-performance AI coding agent CLI written in Rust with zero unsafe code,Updated 12 minutes ago,,CLI / Terminal Tools
thClaws/thClaws,860,Rust,rust; ai; ai-agents; multi-provider; tauri,"Open-source agent harness platform. Native Rust, multi-provider, runs on your own machine. Sovereign by design.",Updated 14 hours ago,,AI Agent (General)
vkhanhqui/figma-mcp-go,815,Go,agent; design; automation; ai; mcp,"Figma MCP for free users — no rate limits, full read/write, text to designs, designs to code",Updated 9 days ago,,MCP / Tools Protocol
kernel/kernel-images,806,Go,docker; infrastructure; vm; browser; ai,Browsers-as-a-service for automations and web agents,Updated yesterday,,Browser / Web Automation
jrswab/axe,804,Go,cli; golang; automation; command-line; developer-tools,"A lightweight cli for running single-purpose AI agents. Define focused agents in TOML, trigger them from anywhere; pipes, git hooks, cron…",Updated yesterday,,AI Agent (General)
vllora/vllora,798,Rust,router; azure; tracing; gemini; rust-lang,Debug your AI agents,Updated 3 days ago,,AI Agent (General)
helixml/helix,773,Go,api; golang; helm; swagger; openapi,"♾️ Private Agent Fleet with Spec Coding. Each agent gets their own GPU-accelerated desktop. Run Claude, Codex, Gemini and open models on …",Updated 15 hours ago,,AI Agent (General)
go-kratos/blades,766,Go,agent; golang; workflow; ai; multi-agent,Blades is a Go-based multimodal AI Agent framework.,Updated 10 hours ago,,AI Agent (General)
DataDog/pup,759,Rust,cli; client; datadog; observability,Give your AI agent a Pup — a CLI companion with 200+ commands across 33+ Datadog products.,Updated 5 hours ago,,AI Agent (General)
charmbracelet/fantasy,746,Go,,"Build AI agents with Go. Multiple providers, multiple models, one API. 🧙",Updated yesterday,,AI Agent (General)
adolfousier/opencrabs,732,Rust,open-source; orchestration-framework; harness; self-learning; self-healing,The self-improving all channels AI agent. Self-healing. Fully autonomous. Single Rust binary.,Updated 2 days ago,,Agent Orchestration / Workflow
superhq-ai/shuru,724,Rust,,A local-first microVM sandbox for running AI agents safely on macOS & Linux,Updated 15 days ago,,Agent Runtime / Sandbox
bosun-ai/swiftide,693,Rust,rust; data; ai; ml; indexing,"Fast, streaming indexing, query, and agentic LLM applications in Rust",Updated yesterday,,AI Agent (General)
microclaw/microclaw,691,Rust,bot; rust; openclaw; nanoclaw,"🦀An agentic AI assistant that lives in your chats, inspired by nanoclaw and incorporating some of its design ideas. Built with Rust 🦀",Updated 4 days ago,,AI Agent (General)
kweaver-ai/kweaver-core,688,Go,ontology; agents; harness; knowledge-network; decision-intelligence,"KWeaver Core is a harness-first foundation for enterprise decision agents. It turns fragmented data, knowledge, tools, and policies into …",Updated 2 hours ago,,Memory / Knowledge / RAG
alash3al/stash,674,Go,ai; memory; ai-agents; ai-memory,"Stash — persistent memory layer for AI agents. Episodes, facts, and working context stored in Postgres. MCP server included. Self-hosted,…",Updated 8 days ago,,MCP / Tools Protocol
ogulcancelik/herdr,659,Rust,agent; rust; tmux; cli; terminal,agent multiplexer that lives in your terminal.,Updated 2 hours ago,,CLI / Terminal Tools
AnalyseDeCircuit/oxideterm,653,Rust,react; agent; rust; typescript; terminal,"Local-first SSH workspace for local shells and remote machines — SSH, SFTP, trzsz, port forwarding, lightweight remote editing, file mana…",Updated 5 hours ago,,AI Agent (General)
eastreams/loong,636,Rust,agent; rust; framework; ai; assistant,"Lightweight, clear, and fully extensible AI agent infrastructure — learn easily, customize anything 🐉",Updated 8 hours ago,,AI Agent (General)
suitedaces/computer-agent,634,Rust,react; rust; gui; typescript; ai,"Desktop app to control your computer with AI using your terminal, browser, mouse & keyboard",Updated on Jan 9,,CLI / Terminal Tools
cisco-ai-defense/defenseclaw,626,Go,,Security Governance for Agentic AI,Updated 13 hours ago,,AI Agent (General)
klawsh/klaw.sh,624,Go,orchestration; agents; ai-agents,kubectl for AI Agents,Updated on Mar 30,,Agent Orchestration / Workflow
liquidos-ai/AutoAgents,623,Rust,ai; agents; ai-agents; llm; ai-agents-framework,"A multi-agent framework written in Rust that enables you to build, deploy, and coordinate multiple intelligent agents",Updated 4 days ago,,AI Agent (General)
crabtalk/crabtalk,618,Rust,ai; composable; developer-tool; agent-framework; ai-agent,Agents daemon that hides nothing,Updated 13 hours ago,,AI Agent (General)
rapidaai/voice-ai,615,Go,golang; open-source; text-to-speech; sip; orchestration,"Rapida is an open-source, end-to-end voice AI orchestration platform for building real-time conversational voice agents with audio stream…",Updated 7 hours ago,,Agent Orchestration / Workflow
Ai00-X/ai00_server,612,Rust,ai; embed; openai; rag; openai-api,"The all-in-one RWKV runtime box with embed, RAG, AI agents, and more.",Updated on Feb 22,,AI Agent (General)
Compresr-ai/Context-Gateway,599,Go,,Context Gateway is an agentic proxy that enhances any AI agent workflow with instant history compaction and context optimization tools,Updated 25 days ago,,AI Agent (General)
lahfir/agent-desktop,593,Rust,macos; rust; cli; automation; accessibility,Native desktop automation CLI for AI agents. Control any application through OS accessibility trees with structured JSON output and deter…,Updated 5 days ago,,AI Agent (General)
luckyPipewrench/pipelock,574,Go,golang; security; mcp; dlp; ssrf,"Open-source AI agent firewall for MCP security: agent egress control, DLP, SSRF, and prompt injection defense.",Updated 5 hours ago,,AI Agent (General)
jingkaihe/matchlock,570,Go,,Matchlock secures AI agent workloads with a Linux-based sandbox.,Updated 7 days ago,,AI Agent (General)
Ingenimax/agent-sdk-go,568,Go,golang; framework; agents; agentic-ai,A powerful Go framework for building production-ready AI agents!,Updated 7 days ago,,Agent DevKit / SDK
onflow/flow-go,568,Go,go; golang; flow; distributed-systems; smart-contracts,"Reference implementation of the Flow network in Go. Layer 1 proof-of-stake protocol built for consumer apps, AI Agents, and DeFi at scale",Updated 12 hours ago,,AI Agent (General)
second-state/echokit_server,566,Rust,ai; mcp; esp32; voice; tts,Open Source Voice Agent Platform,Updated on Feb 15,,Security / Pentesting
strongdm/leash,556,Go,security; ai; sandbox; container; agentic,Leash by StrongDM - take your AI agents for a walk,Updated on Apr 6,,AI Agent (General)
marmotdata/marmot,551,Go,metadata; mcp; bigdata; data-catalog; data-discovery,"The open-source context layer for your AI. Catalog your tables, topics, queues and APIs then expose real metadata to your AI agents.",Updated 10 hours ago,,AI Agent (General)
matlab/matlab-mcp-core-server,536,Go,matlab; engineering-tools; mcp-server; mcp-tools; matlab-mcp-server,Run MATLAB® using AI applications with the official MATLAB MCP Server from MathWorks®. This MCP server for MATLAB supports a wide range o…,Updated 9 days ago,,MCP / Tools Protocol
InfinitiBit/graphbit,535,Rust,python; rust; ai; multi-agent-systems; ai-agents,"GraphBit is the world’s first enterprise-grade Agentic AI framework, built on a Rust core with a Python wrapper for unmatched speed, secu…",Updated 11 days ago,,AI Agent (General)
samvallad33/vestige,526,Rust,rust; threejs; sqlite; mcp; vscode,"Cognitive memory for AI agents — FSRS-6 spaced repetition, 29 brain modules, 3D dashboard, single 22MB Rust binary. MCP server for Claude…",Updated 3 days ago,,MCP / Tools Protocol
Light-Heart-Labs/DreamServer,513,Rust,docker; text-to-speech; amd; self-hosted; nvidia,"Local AI anywhere, for everyone — LLM inference, chat UI, voice, agents, workflows, RAG, and image generation. No cloud, no subscriptions.",Updated 2 days ago,,Memory / Knowledge / RAG
wandb/catnip,479,Go,cli; golang; typescript; ai; ios-swift,"Like catnip, a highly addictive agentic coding tool",Updated on Mar 4,,AI Agent (General)
sympozium-ai/sympozium,477,Go,agentic; agentic-ai,The Coordination Layer for Multi-Agent AI,Updated 10 hours ago,,AI Agent (General)
cordum-io/cordum,473,Go,devops; mcp; workflow-engine; nats; control-plane,"The open agent control plane. Govern autonomous AI agents with pre-execution policy enforcement, approval gates, and audit trails. Works …",Updated 54 minutes ago,,AI Agent (General)
bytedance/vArmor,472,Go,kubernetes; security; containers; sandbox; policy,vArmor is a cloud-native container hardening system that leverages AppArmor/BPF/Seccomp and network proxy technologies to enforce access …,Updated yesterday,,Infrastructure / DevOps
mynaparrot/plugNmeet-server,459,Go,ai; communication; webrtc; video-conferencing; webrtc-call,"The open-source, self-hosted video conferencing software. Scalable, customizable, and with a powerful AI Meeting Agent.",Updated 9 hours ago,,AI Agent (General)
sxhxliang/agent-studio,449,Rust,,"AgentX is a GPU-accelerated, cross-platform desktop application that brings AI agents to your workflow. 跨平台、原生 Agent 桌面。",Updated on Mar 14,,AI Agent (General)
eat-pray-ai/yutu,449,Go,windows; macos; linux; bot; agent,The AI-powered toolkit that grows your YouTube channel on autopilot.,Updated 4 days ago,,Agent DevKit / SDK
xiaods/k8e,444,Go,kubernetes; sandbox; k8s,k8e.sh - OpenSource Agentic AI Sandbox Matrix,Updated on Apr 5,,AI Agent (General)
VersusControl/versus-incident,436,Go,slack; golang; aws; devops; alert,"An incident management tool supporting multi-channel alerting, customizable messages, on-call integrations, and the built-in AI SRE Agent.…",Updated yesterday,,Data Integration / Pipelines
BakeLens/crust,433,Go,security; agentic,🌟 Open Source AI Agent Security Infrastructure — intercepts and blocks dangerous agent behaviors before they happen. Just one command! Jo…,Updated 5 days ago,,AI Agent (General)
mudrii/openclaw-dashboard,432,Go,python; monitoring; dashboard; zero-dependency; ai-agents,"A beautiful, zero-dependency command center for OpenClaw AI agents",Updated 10 days ago,,AI Agent (General)
neiii/bridle,423,Rust,rust; cli; terminal; ai; mcp,"TUI / CLI config manager for agentic harnesses (Amp, Claude Code, Opencode, Goose, Copilot CLI, Crush, Droid)",Updated 7 days ago,,AI Agent (General)
shiwenwen/hope-agent,420,Rust,desktop-app; agent; ai; mcp; chatbot,🦭跨端交接、越用越懂你的桌面 AI 助手——也能服务化常驻、跑在云上 | Desktop AI that hands off across your devices and gets to know you better — also runs headless on a …,Updated 7 hours ago,,AI Agent (General)
Th0rgal/sandboxed.sh,420,Rust,mcp; opencode; self-hosted; orchestration; developer-tools,"Self-hosted orchestrator for AI autonomous agents. Run Claude Code & Open Code in isolated linux workspaces. Manage your skills, configs …",Updated 14 hours ago,,Agent Orchestration / Workflow
ldclabs/anda,419,Rust,agent; agi; autonomous; decentralize,🤖 An AI agent framework built with Rust.,Updated 21 hours ago,,AI Agent (General)
cloudshipai/station,419,Go,go; golang; platform; devops; oss,Station is our open-source runtime that lets teams deploy agents on their own infrastructure with full control.,Updated on Jan 27,,AI Agent (General)
reyamira/models,416,Rust,rust; status; ai; models; opencode,"TUI and CLI for browsing AI models, benchmarks, coding agents, and statuses for AI providers.",Updated 21 minutes ago,,CLI / Terminal Tools
jfernandez/mdserve,402,Rust,,Markdown preview server for AI coding agents.,Updated 25 days ago,,AI Agent (General)
nowledge-co/con-terminal,397,Rust,agent; rust; workflow; terminal; skills,The Native Terminal Emulator with a builtin AI Harness,Updated 13 hours ago,,CLI / Terminal Tools
akitaonrails/ai-jail,382,Rust,,"Multi-OS sandbox to run AI agents with better constraints (it is not 100% secure, but enough)",Updated 10 days ago,,AI Agent (General)
baby-llm/baby-agent,367,Go,agent; ai; llm; harness-engineering,AI agent tutorials for backend developers without AI background. 适合后端工程师的零基础 AI Agent 教程,Updated 22 days ago,,AI Agent (General)
onflow/flow,359,Go,go; golang; flow; protocol; smart-contracts,"Flow is a Layer 1 proof-of-stake blockchain built for consumer applications, AI Agents, and DeFi at scale. Repo hub for the Flow network",Updated yesterday,,AI Agent (General)
angelnicolasc/graymatter,358,Go,go; cli; offline-first; self-hosted; persistent-memory,Three lines of code to give your AI agents persistent memory. Reduce 90% token consumption while also maintaining quality.,Updated 9 days ago,,AI Agent (General)
hookdeck/hookdeck-cli,355,Go,cli; webhooks; mcp; localtunnel; ngrok-alternative,"CLI for Hookdeck: forward webhooks to localhost (ngrok alternative), manage and query Event Gateway resources (sources, connections, dest…",Updated yesterday,,CLI / Terminal Tools
openclaw-rocks/openclaw-operator,353,Go,kubernetes; golang; ai; helm; operator,"Kubernetes operator for deploying and managing OpenClaw AI agent instances with production-grade security, observability, and lifecycle m…",Updated 14 hours ago,,AI Agent (General)
graniet/llm,342,Rust,,"A powerful Rust library and CLI tool to unify and orchestrate multiple LLM, Agent and voice backends (OpenAI, Claude, Gemini, Ollama, Ele…",Updated 4 days ago,,Agent Orchestration / Workflow
gojue/moling,336,Go,agent; ai; mcp; ai-assistant; ai-agent,"MoLing is a computer-use and browser-use based MCP server. It is a locally deployed, dependency-free office AI assistant.",Updated on Mar 15,,MCP / Tools Protocol
dollspace-gay/chainlink,332,Rust,rust; cli; issue-tracker; developer-tools; ai-tools,A CLI issue tracker for AI Agents,Updated 7 days ago,,AI Agent (General)
bosun-ai/kwaak,326,Rust,rust; artificial-intelligence; developer-tools; terminal-app; agents,Burn through tech debt with AI agents!,Updated on Jan 27,,AI Agent (General)
Xuanwo/xurl,324,Rust,,xURL: Client for AI Agents URLs,Updated on Mar 24,,AI Agent (General)
rtk-ai/icm,319,Rust,rust; experimental; memory; mcp; ai-agents,"Permanent memory for AI agents. Single binary, zero dependencies, MCP native.",Updated 4 days ago,,AI Agent (General)
